date,nav,currency,source
2023-10-25,105.8675,USD,anuefund_public
2023-10-26,105.5556,USD,anuefund_public
2023-10-27,105.4204,USD,anuefund_public
2023-10-30,108.116,USD,anuefund_public
2023-10-31,106.4455,USD,anuefund_public
2023-11-01,104.8362,USD,anuefund_public
2023-11-02,104.9713,USD,anuefund_public
2023-11-03,108.3391,USD,anuefund_public
2023-11-06,110.4756,USD,anuefund_public
2023-11-07,108.8446,USD,anuefund_public
2023-11-08,106.879,USD,anuefund_public
2023-11-09,104.1801,USD,anuefund_public
2023-11-10,103.2256,USD,anuefund_public
2023-11-13,101.4004,USD,anuefund_public
2023-11-14,102.0589,USD,anuefund_public
2023-11-15,105.9304,USD,anuefund_public
2023-11-16,104.721,USD,anuefund_public
2023-11-17,107.1337,USD,anuefund_public
2023-11-20,106.3028,USD,anuefund_public
2023-11-21,106.5157,USD,anuefund_public
2023-11-22,108.1791,USD,anuefund_public
2023-11-23,108.5011,USD,anuefund_public
2023-11-24,108.648,USD,anuefund_public
2023-11-27,109.5578,USD,anuefund_public
2023-11-28,112.2737,USD,anuefund_public
2023-11-29,117.2636,USD,anuefund_public
2023-11-30,117.1065,USD,anuefund_public
2023-12-01,118.0026,USD,anuefund_public
2023-12-04,120.2959,USD,anuefund_public
2023-12-05,116.5207,USD,anuefund_public
2023-12-06,115.0713,USD,anuefund_public
2023-12-07,115.4621,USD,anuefund_public
2023-12-08,113.6385,USD,anuefund_public
2023-12-11,110.6005,USD,anuefund_public
2023-12-12,110.0062,USD,anuefund_public
2023-12-13,108.3065,USD,anuefund_public
2023-12-14,116.0303,USD,anuefund_public
2023-12-15,116.6914,USD,anuefund_public
2023-12-18,116.5752,USD,anuefund_public
2023-12-19,116.6845,USD,anuefund_public
2023-12-20,119.6037,USD,anuefund_public
2023-12-21,118.106,USD,anuefund_public
2023-12-22,119.6679,USD,anuefund_public
2023-12-27,120.4905,USD,anuefund_public
2023-12-28,121.7571,USD,anuefund_public
2023-12-29,118.188,USD,anuefund_public
2024-01-02,116.9879,USD,anuefund_public
2024-01-03,114.273,USD,anuefund_public
2024-01-04,111.6653,USD,anuefund_public
2024-01-05,110.9777,USD,anuefund_public
2024-01-08,110.6481,USD,anuefund_public
2024-01-09,110.2151,USD,anuefund_public
2024-01-10,108.8323,USD,anuefund_public
2024-01-11,108.2622,USD,anuefund_public
2024-01-12,108.8782,USD,anuefund_public
2024-01-15,110.6687,USD,anuefund_public
2024-01-16,110.1673,USD,anuefund_public
2024-01-17,105.6692,USD,anuefund_public
2024-01-18,104.0665,USD,anuefund_public
2024-01-19,104.337,USD,anuefund_public
2024-01-22,103.9144,USD,anuefund_public
2024-01-23,103.8165,USD,anuefund_public
2024-01-24,108.0733,USD,anuefund_public
2024-01-25,106.0734,USD,anuefund_public
2024-01-26,107.3373,USD,anuefund_public
2024-01-29,106.6795,USD,anuefund_public
2024-01-30,107.5982,USD,anuefund_public
2024-01-31,106.9244,USD,anuefund_public
2024-02-01,106.3414,USD,anuefund_public
2024-02-02,109.9492,USD,anuefund_public
2024-02-05,105.8615,USD,anuefund_public
2024-02-06,104.3579,USD,anuefund_public
2024-02-07,105.4274,USD,anuefund_public
2024-02-08,103.8365,USD,anuefund_public
2024-02-09,103.8294,USD,anuefund_public
2024-02-12,102.0656,USD,anuefund_public
2024-02-13,101.169,USD,anuefund_public
2024-02-14,97.8479,USD,anuefund_public
2024-02-15,98.7255,USD,anuefund_public
2024-02-16,100.5696,USD,anuefund_public
2024-02-20,101.1273,USD,anuefund_public
2024-02-21,101.2984,USD,anuefund_public
